label,auc
Atelectasis,0.8196641568131703
Cardiomegaly,0.9029842487622395
Consolidation,0.8084394739567154
Covid,0.9999988917274348
Edema,0.8990902211710681
Effusion,0.885683194950719
Emphysema,0.9185147302632447
Fibrosis,0.8298663683879497
Hernia,0.8876518030963196
Infiltration,0.7247933399028932
Mass,0.8284603027941275
Nodule,0.769382769064103
Pleural_Thickening,0.7947053379527954
Pneumonia,0.769328257682452
Pneumothorax,0.8776808156040941
